日期,运营中心,学部,学科,app_rate,pc_rate,headcount
2026-09-09,郑州,初中,初中 汇总,0.7753335616438356,0.88165,146
2026-09-09,郑州,初中,化学,0.834025,0.871875,8
2026-09-09,郑州,初中,数学,0.7006524590163934,0.8832754098360656,61
2026-09-09,郑州,初中,物理,0.9456275862068966,0.9515379310344827,29
2026-09-09,郑州,初中,英语,0.7852461538461538,0.7955153846153844,26
2026-09-09,郑州,初中,语文,0.7248681818181819,0.8903681818181819,22
2026-09-09,郑州,小学,小学 汇总,0.853609090909091,0.5549636363636363,11
2026-09-09,郑州,小学,数学,0.7762333333333333,0.53765,6
2026-09-09,郑州,小学,英语,0.9958,0.85095,2
2026-09-09,郑州,小学,语文,0.9135666666666666,0.3922666666666666,3
2026-09-09,郑州,高中,,0.0,0.0,1
2026-09-09,郑州,高中,化学,0.7866875,0.56215,8
2026-09-09,郑州,高中,数学,0.9306133333333333,0.6538933333333332,15
2026-09-09,郑州,高中,物理,0.7764000000000001,0.80074,10
2026-09-09,郑州,高中,英语,0.981375,0.38380000000000003,8
2026-09-09,郑州,高中,语文,0.6192833333333333,0.6838000000000001,6
2026-09-09,郑州,高中,高中 汇总,0.8246541666666668,0.6142958333333333,48
